movie_title,release_date,tomato_meter,audience_score,movie_duration,production_budget,opening_weekend,domestic_box_office,worldwide_box_office
Iron Man,2008,94,91,126,"186,000,000","102,118,668","318,604,126","585,171,547"
The Incredible Hulk,2008,67,70,112,"137,500,000","55,414,050","134,806,913","265,573,859"
Iron Man 2,2010,72,71,124,"170,000,000","128,122,480","312,433,331","621,156,389"
Thor,2011,77,76,113,"150,000,000","65,723,338","181,030,624","449,326,618"
Captain America: The First Avenger,2011,79,75,124,"140,000,000","65,058,524","176,654,505","370,569,776"
The Avengers,2012,91,91,143,"225,000,000","207,438,708","623,357,910","1,515,100,211"
Iron Man 3,2013,79,78,130,"200,000,000","174,144,585","408,992,272","1,215,392,272"
Thor: The Dark World,2013,66,75,111,"150,000,000","85,737,841","206,362,140","644,602,516"
Captain America: The Winter Soldier,2014,90,92,135,"170,000,000","95,023,721","259,746,958","714,401,889"
Guardians of the Galaxy,2014,92,92,121,"170,000,000","94,320,883","333,714,112","770,882,395"
Avengers: Age of Ultron,2015,76,83,141,"365,000,000","191,271,109","459,005,868","1,395,316,979"
Ant-Man,2015,83,85,117,"130,000,000","57,225,526","180,202,163","518,858,449"
Captain America: Civil War,2016,90,89,146,"250,000,000","179,139,142","408,084,349","1,151,918,521"
Doctor Strange,2016,89,86,115,"165,000,000","85,058,311","232,641,920","676,354,481"
Guardians of the Galaxy Vol. 2,2017,85,87,135,"200,000,000","146,510,104","389,813,101","869,113,101"
Spider-Man: Homecoming,2017,92,87,133,"175,000,000","117,027,503","334,201,140","878,346,440"
Thor: Ragnarok,2017,93,87,130,"180,000,000","122,744,989","315,058,289","850,482,778"
Black Panther,2018,96,79,134,"200,000,000","202,003,951","700,059,566","1,336,494,321"
Avengers: Infinity War,2018,85,91,149,"300,000,000","257,698,183","678,815,482","2,048,359,754"
Ant-Man and the Wasp,2018,87,81,118,"130,000,000","75,812,205","216,648,740","623,144,660"
Captain Marvel,2019,79,45,124,"175,000,000","153,433,423","426,829,839","1,129,727,388"
Avengers: End Game,2019,94,90,181,"400,000,000","357,115,007","858,373,000","2,797,800,564"
Spider-Man: Far From Home,2019,90,95,129,"160,000,000","92,579,212","390,532,085","1,132,532,832"
Black Widow,2021,79,91,133,"200,000,000","80,366,312","183,651,655","379,751,655"
Shang-Chi and the Legend of the Ten Rings,2021,91,98,133,"150,000,000","75,388,688","224,543,292","432,243,292"
Eternals,2021,47,78,157,"200,000,000","71,297,219","164,870,264","402,064,929"
Spider-Man: No Way Home,2021,93,98,148,"200,000,000","260,138,569","803,975,784","1,891,108,035"
